sourceID,tp,fp,fn,Precision,Recall,F1,F2,AP,LAG
UC10E1,0,20,2,0,0,0,0,,
UC10E2,0,20,2,0,0,0,0,,
UC10S1,2,18,5,0.1,0.285714285714286,0.148148148148148,0.208333333333333,,
UC10S2,0,20,1,0,0,0,0,,
UC11E1,0,20,2,0,0,0,0,,
UC11E2,0,20,2,0,0,0,0,,
UC11S1,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC11S2,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC12,0,20,1,0,0,0,0,,
UC13,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC13E1,0,20,2,0,0,0,0,,
UC15E1,3,17,1,0.15,0.75,0.25,0.416666666666667,,
UC15S1,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC15S2,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC15S3,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC15S4,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC16,5,15,1,0.25,0.833333333333333,0.384615384615385,0.568181818181818,,
UC16E1,0,20,0,0,1,0,0,,
UC17S1,0,20,2,0,0,0,0,,
UC17S2,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC17S3,1,19,1,0.05,0.5,0.0909090909090909,0.178571428571429,,
UC18E1,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC18E2,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC18S1,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC18S2,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC19E1,0,20,2,0,0,0,0,,
UC19E2,0,20,2,0,0,0,0,,
UC19S1,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC19S2,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC19S3,0,20,0,0,1,0,0,,
UC1E1,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC1E2,0,20,0,0,1,0,0,,
UC1S1,1,19,3,0.05,0.25,0.0833333333333333,0.138888888888889,,
UC1S2,0,20,0,0,1,0,0,,
UC21E1,0,20,2,0,0,0,0,,
UC21E2,0,20,2,0,0,0,0,,
UC21S1,1,19,2,0.05,0.333333333333333,0.0869565217391305,0.15625,,
UC22E1,0,20,0,0,1,0,0,,
UC22E2,0,20,0,0,1,0,0,,
UC22S1,0,20,0,0,1,0,0,,
UC22S2,0,20,0,0,1,0,0,,
UC22S3,0,20,0,0,1,0,0,,
UC23E1,1,19,1,0.05,0.5,0.0909090909090909,0.178571428571429,,
UC23E2,0,20,2,0,0,0,0,,
UC23S1,0,20,2,0,0,0,0,,
UC23S3,5,15,4,0.25,0.555555555555556,0.344827586206897,0.446428571428571,,
UC23S4,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC24,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC25,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC25E1,0,20,0,0,1,0,0,,
UC26E1,0,20,2,0,0,0,0,,
UC26E2,0,20,2,0,0,0,0,,
UC26S1,1,19,1,0.05,0.5,0.0909090909090909,0.178571428571429,,
UC26S2,2,18,4,0.1,0.333333333333333,0.153846153846154,0.227272727272727,,
UC26S3,2,18,2,0.1,0.5,0.166666666666667,0.277777777777778,,
UC26S4,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC27S1,1,19,1,0.05,0.5,0.0909090909090909,0.178571428571429,,
UC27S2,1,19,1,0.05,0.5,0.0909090909090909,0.178571428571429,,
UC28,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC29,3,17,2,0.15,0.6,0.24,0.375,,
UC2E2,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC2S1,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC2S2,1,19,2,0.05,0.333333333333333,0.0869565217391305,0.15625,,
UC30E1,0,20,2,0,0,0,0,,
UC30E2,0,20,2,0,0,0,0,,
UC30S1,1,19,2,0.05,0.333333333333333,0.0869565217391305,0.15625,,
UC30S2,1,19,3,0.05,0.25,0.0833333333333333,0.138888888888889,,
UC30S3,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC30S4,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC30S5,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC30S6,0,20,0,0,1,0,0,,
UC30S7,0,20,0,0,1,0,0,,
UC31S1,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC31S2,0,20,0,0,1,0,0,,
UC32E1,0,20,0,0,1,0,0,,
UC32S1,0,20,0,0,1,0,0,,
UC32S2,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC33E1,0,20,0,0,1,0,0,,
UC33E2,0,20,0,0,1,0,0,,
UC33S1,2,18,2,0.1,0.5,0.166666666666667,0.277777777777778,,
UC33S2,2,18,2,0.1,0.5,0.166666666666667,0.277777777777778,,
UC33S3,0,20,0,0,1,0,0,,
UC34E1,0,20,2,0,0,0,0,,
UC34E2,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC34E3,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC34E4,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC34S1,2,18,2,0.1,0.5,0.166666666666667,0.277777777777778,,
UC34S2,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC34S3,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC34S4,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC34S5,3,17,1,0.15,0.75,0.25,0.416666666666667,,
UC34S6,4,16,0,0.2,1,0.333333333333333,0.555555555555556,,
UC35S1,3,17,2,0.15,0.6,0.24,0.375,,
UC35S2,3,17,2,0.15,0.6,0.24,0.375,,
UC36S1,2,18,2,0.1,0.5,0.166666666666667,0.277777777777778,,
UC36S2,2,18,2,0.1,0.5,0.166666666666667,0.277777777777778,,
UC36S3,2,18,4,0.1,0.333333333333333,0.153846153846154,0.227272727272727,,
UC37S1,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC37S2,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC37S3,1,19,2,0.05,0.333333333333333,0.0869565217391305,0.15625,,
UC38S1,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC38S2,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC3E1,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC3E2,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC3S1,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC3S2,3,17,0,0.15,1,0.260869565217391,0.46875,,
UC3S3,3,17,0,0.15,1,0.260869565217391,0.46875,,
UC3S4,1,19,3,0.05,0.25,0.0833333333333333,0.138888888888889,,
UC3S5,0,20,3,0,0,0,0,,
UC40S1,0,20,0,0,1,0,0,,
UC40S2,0,20,0,0,1,0,0,,
UC40S3,0,20,0,0,1,0,0,,
UC40S4,0,20,0,0,1,0,0,,
UC40S5,0,20,0,0,1,0,0,,
UC40S6,0,20,0,0,1,0,0,,
UC40S7,0,20,0,0,1,0,0,,
UC4E1,1,19,2,0.05,0.333333333333333,0.0869565217391305,0.15625,,
UC4E2,0,20,0,0,1,0,0,,
UC4S1,2,18,3,0.1,0.4,0.16,0.25,,
UC4S2,2,18,2,0.1,0.5,0.166666666666667,0.277777777777778,,
UC4S3,1,19,3,0.05,0.25,0.0833333333333333,0.138888888888889,,
UC4S4,0,20,1,0,0,0,0,,
UC5S1,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC5S2,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC6S1,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC6S2,3,17,0,0.15,1,0.260869565217391,0.46875,,
UC6S3,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC8S1,1,19,1,0.05,0.5,0.0909090909090909,0.178571428571429,,
UC8S2,0,20,2,0,0,0,0,,
UC9S1,1,19,4,0.05,0.2,0.08,0.125,,
UC9S2,1,19,1,0.05,0.5,0.0909090909090909,0.178571428571429,,
