sourceID;tp;fp;fn;Precision;Recall;F1;F2;AP;LAG
UC10E1;0;0;2;1;0;0;0;;
UC10E2;0;0;2;1;0;0;0;;
UC10S1;0;0;7;1;0;0;0;;
UC10S2;0;0;1;1;0;0;0;;
UC11E1;0;0;2;1;0;0;0;;
UC11E2;0;2;2;0;0;0;0;;
UC11S1;0;3;3;0;0;0;0;;
UC11S2;1;4;2;0.2;0.333333333333333;0.25;0.294117647058824;;
UC12;0;2;1;0;0;0;0;;
UC13;0;0;3;1;0;0;0;;
UC13E1;0;2;2;0;0;0;0;;
UC15E1;0;2;4;0;0;0;0;;
UC15S1;2;0;0;1;1;1;1;;
UC15S2;0;1;2;0;0;0;0;;
UC15S3;0;1;2;0;0;0;0;;
UC15S4;0;0;2;1;0;0;0;;
UC16;5;3;1;0.625;0.833333333333333;0.714285714285714;0.78125;;
UC16E1;0;0;0;1;1;1;1;;
UC17S1;0;4;2;0;0;0;0;;
UC17S2;0;0;2;1;0;0;0;;
UC17S3;0;0;2;1;0;0;0;;
UC18E1;0;5;1;0;0;0;0;;
UC18E2;0;5;1;0;0;0;0;;
UC18S1;2;3;0;0.4;1;0.571428571428572;0.769230769230769;;
UC18S2;0;0;2;1;0;0;0;;
UC19E1;0;0;2;1;0;0;0;;
UC19E2;0;0;2;1;0;0;0;;
UC19S1;0;1;3;0;0;0;0;;
UC19S2;0;4;2;0;0;0;0;;
UC19S3;0;4;0;0;1;0;0;;
UC1E1;0;0;1;1;0;0;0;;
UC1S1;0;2;4;0;0;0;0;;
UC1S1;0;0;0;1;1;1;1;;
UC1S2;0;0;0;1;1;1;1;;
UC21E1;0;0;2;1;0;0;0;;
UC21E2;0;0;2;1;0;0;0;;
UC21S1;0;0;3;1;0;0;0;;
UC22E1;0;0;0;1;1;1;1;;
UC22E2;0;0;0;1;1;1;1;;
UC22S1;0;0;0;1;1;1;1;;
UC22S2;0;1;0;0;1;0;0;;
UC22S3;0;0;0;1;1;1;1;;
UC23E1;0;3;2;0;0;0;0;;
UC23E2;0;0;2;1;0;0;0;;
UC23S1;0;0;2;1;0;0;0;;
UC23S3;0;0;9;1;0;0;0;;
UC23S4;2;2;0;0.5;1;0.666666666666667;0.833333333333333;;
UC24;0;3;2;0;0;0;0;;
UC25;0;2;3;0;0;0;0;;
UC25E1;0;5;0;0;1;0;0;;
UC26E1;0;9;2;0;0;0;0;;
UC26E2;0;0;2;1;0;0;0;;
UC26S1;1;3;1;0.25;0.5;0.333333333333333;0.416666666666667;;
UC26S2;2;4;4;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;;
UC26S3;1;2;3;0.333333333333333;0.25;0.285714285714286;0.263157894736842;;
UC26S4;1;3;0;0.25;1;0.4;0.625;;
UC27S1;1;1;1;0.5;0.5;0.5;0.5;;
UC27S2;0;1;2;0;0;0;0;;
UC28;2;6;1;0.25;0.666666666666667;0.363636363636364;0.5;;
UC29;0;2;5;0;0;0;0;;
UC2E2;0;0;1;1;0;0;0;;
UC2S1;0;3;3;0;0;0;0;;
UC2S2;0;0;3;1;0;0;0;;
UC30E1;0;0;2;1;0;0;0;;
UC30E2;0;0;2;1;0;0;0;;
UC30S1;1;2;2;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;;
UC30S2;1;2;3;0.333333333333333;0.25;0.285714285714286;0.263157894736842;;
UC30S3;2;0;1;1;0.666666666666667;0.8;0.714285714285714;;
UC30S4;2;0;1;1;0.666666666666667;0.8;0.714285714285714;;
UC30S5;1;2;1;0.333333333333333;0.5;0.4;0.454545454545455;;
UC30S6;0;2;0;0;1;0;0;;
UC30S7;0;2;0;0;1;0;0;;
UC31S1;1;2;2;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;;
UC31S2;0;0;0;1;1;1;1;;
UC32E1;0;0;0;1;1;1;1;;
UC32S1;0;4;0;0;1;0;0;;
UC32S2;0;0;3;1;0;0;0;;
UC33E1;0;3;0;0;1;0;0;;
UC33E2;0;2;0;0;1;0;0;;
UC33S1;2;2;2;0.5;0.5;0.5;0.5;;
UC33S2;2;1;2;0.666666666666667;0.5;0.571428571428572;0.526315789473684;;
UC33S3;0;3;0;0;1;0;0;;
UC34E1;0;0;2;1;0;0;0;;
UC34E2;0;4;1;0;0;0;0;;
UC34E3;0;0;1;1;0;0;0;;
UC34E4;0;0;1;1;0;0;0;;
UC34S1;2;5;2;0.285714285714286;0.5;0.363636363636364;0.434782608695652;;
UC34S2;2;4;0;0.333333333333333;1;0.5;0.714285714285714;;
UC34S3;1;4;2;0.2;0.333333333333333;0.25;0.294117647058824;;
UC34S4;0;0;3;1;0;0;0;;
UC34S5;3;3;1;0.5;0.75;0.6;0.681818181818182;;
UC34S6;2;4;2;0.333333333333333;0.5;0.4;0.454545454545455;;
UC35S1;2;5;3;0.285714285714286;0.4;0.333333333333333;0.37037037037037;;
UC35S2;2;4;3;0.333333333333333;0.4;0.363636363636364;0.384615384615385;;
UC36S1;2;4;2;0.333333333333333;0.5;0.4;0.454545454545455;;
UC36S2;2;4;2;0.333333333333333;0.5;0.4;0.454545454545455;;
UC36S3;2;5;4;0.285714285714286;0.333333333333333;0.307692307692308;0.32258064516129;;
UC37S1;1;5;1;0.166666666666667;0.5;0.25;0.357142857142857;;
UC37S2;1;5;2;0.166666666666667;0.333333333333333;0.222222222222222;0.277777777777778;;
UC37S3;0;1;3;0;0;0;0;;
UC38S1;2;3;0;0.4;1;0.571428571428572;0.769230769230769;;
UC38S2;2;3;0;0.4;1;0.571428571428572;0.769230769230769;;
UC3E1;0;0;2;1;0;0;0;;
UC3E2;1;3;0;0.25;1;0.4;0.625;;
UC3S1;0;3;1;0;0;0;0;;
UC3S2;1;2;2;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;;
UC3S3;0;0;3;1;0;0;0;;
UC3S4;0;3;4;0;0;0;0;;
UC3S5;0;0;3;1;0;0;0;;
UC40S1;0;0;0;1;1;1;1;;
UC40S2;0;3;0;0;1;0;0;;
UC40S3;0;0;0;1;1;1;1;;
UC40S4;0;0;0;1;1;1;1;;
UC40S5;0;8;0;0;1;0;0;;
UC40S6;0;2;0;0;1;0;0;;
UC40S7;0;3;0;0;1;0;0;;
UC4E1;0;3;3;0;0;0;0;;
UC4E2;0;0;0;1;1;1;1;;
UC4S1;1;2;4;0.333333333333333;0.2;0.25;0.217391304347826;;
UC4S2;0;3;4;0;0;0;0;;
UC4S3;0;0;4;1;0;0;0;;
UC4S4;0;0;1;1;0;0;0;;
UC5S1;0;2;1;0;0;0;0;;
UC5S2;0;3;1;0;0;0;0;;
UC6S1;0;9;3;0;0;0;0;;
UC6S2;0;0;3;1;0;0;0;;
UC6S3;0;0;2;1;0;0;0;;
UC8S1;1;0;1;1;0.5;0.666666666666667;0.555555555555556;;
UC8S2;1;1;1;0.5;0.5;0.5;0.5;;
UC9S1;1;4;4;0.2;0.2;0.2;0.2;;
UC9S2;1;5;1;0.166666666666667;0.5;0.25;0.357142857142857;;
